DEPUTADO/A;PARTIDO;UF;MANDATOS;VOTAÇÃO 2018;IDADE;SITUAÇÃO;PROFISSÃO;Igreja
PASTOR SARGENTO ISIDÓRIO;Avante;BA;1º;323.264;56;Novo;PASTOR;Assembleia de Deus
PAULO BENGTSON;PTB;PA;1º;96.722;44;Novo;PASTOR;Evangelho Quadrangular
PAULO FREIRE COSTA;PR;SP;3º;109.461;63;Reeleito;PASTOR;Assembleia de Deus
POLICIAL KATIA SASTRE;PR;SP;1º;264.013;42;Nova;Policial Militar;Assembleia de Deus
PR. MARCO FELICIANO;PODE;SP;3º;239.784;46;Reeleito;PASTOR;Assembleia de Deus
REJANE DIAS;PT;PI;2º;138.800;46;Reeleita;Administradora;Batista
ROBERTO ALVES;PRB;SP;3º;82.097;58;Reeleito;Metalúrgico;Iurd
ROBERTO DE LUCENA;PODE;SP;3º;56.039;52;Reeleito;PASTOR;O Brasil para Cristo
ROSANA VALLE;PSB;SP;1º;106.100;49;Nova;Jornalista;Batista
ROSE MODESTO;PSDB;MS;1º;120.901;40;Nova;Servidor Público Estadual;Igreja do Nosso Senhor Jesus Cristino
Sérgio Brito;PSD;BA;6º;105.427;57;Reeleito;Empresário, Servidor Público e Administrador de Empresas;Batista
SERGIO VIDIGAL;PDT;ES;2º;73.030;61;Reeleito;Médico;Batista
SEVERINO PESSOA;PRB;AL;1º;70.413;48;Novo;Comerciante;
SHÉRIDAN;PSDB;RR;2º;12.129;34;Reeleita;Psicóloga;Evangelho Quadrangular
SILAS CÂMARA;PRB;AM;6º;117.181;56;Reeleito;PASTOR;Assembleia de Deus
SÓSTENES CAVALCANTE;DEM;RJ;2º;94.203;43;Reeleito;PASTOR;Assembleia de Deus - Ministério Vitória em Cristo
Stefano Aguiar;PSD;MG;3º;115.795;42;Reeleito;PASTR;Evangelho Quadrangular
TONINHO WANDSCHEER;PROS;PR;2º;72.475;68;Reeleito;Empresário – Imobiliário;Assembleia de Deus
Vavá Martins;PRB;PA;1º;158.717;36;Novo;PASTOR;Iurd
VINICIUS CARVALHO;PRB;SP;3º;97.862;52;Reeleito;PASTOR;Iurd
WLADIMIR GAROTINHO;PRP;RJ;1º;39.398;33;Novo;Empresário;Presbiteriana
